gameid,year,round,date,hometeam,awayteam,hometeamscoreft,awayteamscoreft,venue,attendance,maxtemp,mintemp,rainfall
2017R1505,2017,R15,2017-07-01,Greater Western Sydney,Geelong,10.8,10.8,Sydney Showground,15007.0,17.1,3.2,0.0
2017R1506,2017,R15,2017-07-01,Port Adelaide,Richmond,8.15,11.1,Adelaide Oval,39979.0,16.2,6.0,0.0
2017R1507,2017,R15,2017-07-02,Essendon,Brisbane Lions,11.16,13.12,Docklands,41246.0,13.4,1.8,0.0
2017R1508,2017,R15,2017-07-02,Hawthorn,Collingwood,18.1,14.1,M.C.G.,56593.0,13.4,1.8,0.0
2017R1509,2017,R15,2017-07-02,Fremantle,St Kilda,12.8,12.17,Subiaco,30541.0,14.6,6.0,21.8
2017R1601,2017,R16,2017-07-07,Adelaide,Western Bulldogs,16.8,5.15,Adelaide Oval,41948.0,15.1,8.4,3.6
2017R1602,2017,R16,2017-07-08,Hawthorn,Greater Western Sydney,14.13,15.7,York Park,12156.0,11.7,1.7,0.4
2017R1603,2017,R16,2017-07-08,Collingwood,Essendon,12.8,18.9,M.C.G.,63537.0,14.2,5.4,0.0
2017R1604,2017,R16,2017-07-08,Sydney,Gold Coast,17.16,7.9,S.C.G.,32987.0,19.1,6.2,0.0
2017R1605,2017,R16,2017-07-08,Brisbane Lions,Geelong,11.12,25.13,Gabba,18769.0,21.9,8.7,7.0
2017R1606,2017,R16,2017-07-08,St Kilda,Richmond,21.12,10.11,Docklands,47514.0,14.2,5.4,0.0
2017R1607,2017,R16,2017-07-09,North Melbourne,Fremantle,12.1,13.8,Docklands,19267.0,14.6,6.2,1.0
2017R1608,2017,R16,2017-07-09,Carlton,Melbourne,12.1,14.6,M.C.G.,47266.0,14.6,6.2,1.0
2017R1609,2017,R16,2017-07-09,West Coast,Port Adelaide,13.1,18.12,Subiaco,36766.0,18.0,7.2,0.0
2017R1701,2017,R17,2017-07-14,St Kilda,Essendon,7.15,17.16,Docklands,47156.0,15.6,9.1,2.6
2017R1702,2017,R17,2017-07-15,Geelong,Hawthorn,13.1,12.13,M.C.G.,70345.0,13.0,2.7,0.1
2017R1703,2017,R17,2017-07-15,Port Adelaide,North Melbourne,19.13,8.9,Adelaide Oval,34138.0,14.1,3.9,2.0
2017R1704,2017,R17,2017-07-15,Gold Coast,Collingwood,13.1,15.13,Carrara,17275.0,24.2,13.2,0.0
2017R1705,2017,R17,2017-07-15,Greater Western Sydney,Sydney,12.11,14.12,Sydney Showground,21924.0,19.0,8.6,0.0
2017R1706,2017,R17,2017-07-15,Melbourne,Adelaide,10.1,17.14,Marrara Oval,12104.0,32.8,18.5,0.0
2017R1707,2017,R17,2017-07-16,Richmond,Brisbane Lions,16.16,12.9,Docklands,28188.0,11.9,3.6,0.1
2017R1708,2017,R17,2017-07-16,Carlton,Western Bulldogs,9.8,12.1,M.C.G.,35157.0,11.9,3.6,0.1
2017R1709,2017,R17,2017-07-16,Fremantle,West Coast,5.14,11.8,Subiaco,38722.0,18.9,14.6,5.0
2017R1801,2017,R18,2017-07-21,Adelaide,Geelong,13.13,10.1,Adelaide Oval,50464.0,17.7,6.0,0.0
2017R1802,2017,R18,2017-07-22,Essendon,North Melbourne,20.12,16.9,Docklands,40359.0,12.0,4.9,0.2
2017R1803,2017,R18,2017-07-22,Melbourne,Port Adelaide,13.1,9.11,M.C.G.,27068.0,12.0,4.9,0.2
2017R1804,2017,R18,2017-07-22,Western Bulldogs,Gold Coast,16.14,8.8,Cazaly's Stadium,9364.0,27.0,18.8,0.0
2017R1805,2017,R18,2017-07-22,Sydney,St Kilda,14.17,9.5,S.C.G.,35773.0,19.4,5.7,0.0
2017R1806,2017,R18,2017-07-22,Fremantle,Hawthorn,7.6,15.1,Subiaco,30818.0,19.3,9.1,3.2
2017R1807,2017,R18,2017-07-23,Richmond,Greater Western Sydney,9.1,6.9,M.C.G.,33467.0,15.3,7.8,0.0
2017R1808,2017,R18,2017-07-23,Collingwood,West Coast,13.15,13.7,Docklands,22927.0,15.3,7.8,0.0
2017R1809,2017,R18,2017-07-23,Brisbane Lions,Carlton,17.1,11.16,Gabba,18847.0,23.2,8.2,0.0
2017R1901,2017,R19,2017-07-28,Hawthorn,Sydney,10.12,9.12,M.C.G.,52181.0,14.8,7.1,3.4
2017R1902,2017,R19,2017-07-29,North Melbourne,Melbourne,11.1,10.12,Bellerive Oval,13939.0,15.3,4.3,0.2
2017R1903,2017,R19,2017-07-29,Greater Western Sydney,Fremantle,13.2,13.8,Sydney Showground,11233.0,21.5,3.0,0.0
2017R1904,2017,R19,2017-07-29,Port Adelaide,St Kilda,9.9,8.13,Adelaide Oval,30335.0,20.8,10.2,0.0
2017R1905,2017,R19,2017-07-29,Carlton,Geelong,8.1,18.15,Docklands,35460.0,16.4,8.8,1.0
2017R1906,2017,R19,2017-07-29,Gold Coast,Richmond,10.5,14.14,Carrara,16207.0,23.7,10.9,0.0
2017R1907,2017,R19,2017-07-30,Western Bulldogs,Essendon,19.13,13.19,Docklands,48754.0,17.8,10.4,0.0
2017R1908,2017,R19,2017-07-30,Collingwood,Adelaide,15.13,16.7,M.C.G.,33269.0,17.8,10.4,0.0
